Landlab version,1.7.0+28.g08c44c34,
Disturbance rate parameter (1/yr),Weathering rate parameter (1/yr),Gradient (m/m),Slope angle (deg)
0.0001,0.0001,1.3982726605,54.4288593112
0.000125892541179,0.0001,1.33563978205,53.1776236524
0.000158489319246,0.0001,1.28195103638,52.0435964012
0.000199526231497,0.0001,1.20887225654,50.4018601266
0.000251188643151,0.0001,1.14595343446,48.8908845173
0.000316227766017,0.0001,1.05635125992,46.5697131091
0.000398107170553,0.0001,0.942607654499,43.3077473578
0.000501187233627,0.0001,0.869252310687,40.9988764547
0.00063095734448,0.0001,0.796047591321,38.521458652
0.000794328234724,0.0001,0.727352023167,36.0303448499
0.001,0.0001,0.671613509347,33.8858427663
0.00125892541179,0.0001,0.627846897511,32.1225294877
0.00158489319246,0.0001,0.619256292704,31.7681229642
0.00199526231497,0.0001,0.585310651158,30.3408931408
0.00251188643151,0.0001,0.572461864088,29.7894916177
0.00316227766017,0.0001,0.56711076919,29.558039045
0.00398107170553,0.0001,0.567443238758,29.5724504967
0.00501187233627,0.0001,0.562874726598,29.374060678
0.0063095734448,0.0001,0.566661346746,29.5385515373
0.00794328234724,0.0001,0.567131680354,29.5589455957
0.01,0.0001,0.567040442954,29.5549901092
0.0125892541179,0.0001,0.566609565904,29.5363057738
0.0158489319246,0.0001,0.566658597538,29.5384323052
0.0199526231497,0.0001,0.566852991568,29.5468624106
0.0251188643151,0.0001,0.288675134595,16.102113752
0.0316227766017,0.0001,0.288675134595,16.102113752
0.0398107170553,0.0001,0.288675134595,16.102113752
0.0501187233627,0.0001,0.566658597538,29.5384323052
0.063095734448,0.0001,0.557779073624,29.1518636532
0.0794328234724,0.0001,0.566247379398,29.5205947572
0.1,0.0001,0.566558675373,29.5340985264
0.0001,0.001,1.39952228618,54.4530731638
0.000125892541179,0.001,1.33304673899,53.1241901081
0.000158489319246,0.001,1.25382616424,51.4255827703
0.000199526231497,0.001,1.18215782235,49.7717598355
0.000251188643151,0.001,1.12809021778,48.4444899307
0.000316227766017,0.001,1.0195490465,45.5546004827
0.000398107170553,0.001,0.940103709513,43.2316847566
0.000501187233627,0.001,0.872391820889,41.101178432
