Landlab version,1.7.0+28.g08c44c34,
Disturbance rate parameter (1/yr),Weathering rate parameter (1/yr),Gradient (m/m),Slope angle (deg)
0.0199526231497,0.01,0.438143944101,23.6603382475
0.0251188643151,0.01,0.376602849668,20.6365169712
0.0316227766017,0.01,0.408621401335,22.2259756301
0.0398107170553,0.01,0.400182343795,21.8104154113
0.0501187233627,0.01,0.427133972631,23.1289741815
0.063095734448,0.01,0.444115591684,23.9467531174
0.0794328234724,0.01,0.432024668476,23.3655355753
0.1,0.01,0.386665776613,21.1397804452
0.0001,0.1,1.27500494364,51.8925310012
0.000125892541179,0.1,1.13977439101,48.7373664968
0.000158489319246,0.1,1.06221416266,46.7280106804
0.000199526231497,0.1,0.983029856495,44.509692775
0.000251188643151,0.1,0.897173092175,41.8976004805
0.000316227766017,0.1,0.793100975428,38.4179683695
0.000398107170553,0.1,0.677448720731,34.1156262267
0.000501187233627,0.1,0.577141157815,29.991013287
0.00063095734448,0.1,0.470556849623,25.1996513925
0.000794328234724,0.1,0.374687771325,20.5403597652
0.001,0.1,0.320416676582,17.7663252183
0.00125892541179,0.1,0.236660871091,13.3146984503
0.00158489319246,0.1,0.201061893466,11.3684224459
0.00199526231497,0.1,0.159087029247,9.03926599203
0.00251188643151,0.1,0.142462931334,8.10796621017
0.00316227766017,0.1,0.130008404341,7.40738565859
0.00398107170553,0.1,0.112894506106,6.44110678516
0.00501187233627,0.1,0.102726145072,5.86520113697
0.0063095734448,0.1,0.0983400948292,5.61641382275
0.00794328234724,0.1,0.0988558399145,5.64567933243
0.01,0.1,0.0952841982172,5.44294978187
0.0125892541179,0.1,0.0928194425346,5.30296799528
0.0158489319246,0.1,0.101977287903,5.82273960527
0.0199526231497,0.1,0.103202912634,5.89223133968
0.0251188643151,0.1,0.0797991420794,4.56248595115
0.0316227766017,0.1,0.0900640608332,5.14640546095
0.0398107170553,0.1,0.0959662040448,5.48167175528
0.0501187233627,0.1,0.0938518979439,5.36161244384
0.063095734448,0.1,0.0860639246053,4.91897858761
0.0794328234724,0.1,0.105117723338,6.00076436467
0.1,0.1,0.104876470917,5.9870923449
