Run name,Disturbance rate parameter,Weathering rate parameter,Slope angle,Slope gradient,Intercept
d-30w-23,0.001,0.005011872336272719,28.8679129504,0.55129919879,0.647770972796
d-40w-36,0.0001,0.00025118864315095795,48.9760223529,1.14939657992,0.250391682097
d-40w-31,0.0001,0.0007943282347242813,36.1787999969,0.731321305229,0.612875658738
d-30w-24,0.001,0.003981071705534969,29.3050781996,0.561290376358,0.397521720553
d-40w-38,0.0001,0.00015848931924611126,52.0516891069,1.28232446913,0.822247543085
d-30w-12,0.001,0.0630957344480193,28.5187839681,0.543380265458,0.807149978636
d-30w-15,0.001,0.03162277660168379,28.5620526832,0.544358825236,0.857142857143
d-30w-14,0.001,0.03981071705534971,28.5569640909,0.544243700556,0.787494658881
d-40w-39,0.0001,0.0001258925411794166,53.2675500318,1.34001838009,1.26976214214
d-30w-13,0.001,0.05011872336272722,28.6071015944,0.545378500971,0.610881640792
d-30w-25,0.001,0.0031622776601683794,29.3716746552,0.562819889961,0.36846603048
d-40w-30,0.0001,0.001,33.4291399822,0.660108467582,1.37202677681
d-40w-37,0.0001,0.00019952623149688788,50.4340587581,1.21025641957,0.726677111523
d-30w-22,0.001,0.00630957344480193,28.8444209513,0.550764691348,0.650334710155
d-30w-40,0.001,0.0001,54.6296897231,1.4086820284,0.374163224612
d-20w-40,0.01,0.0001,53.3508104765,1.34408885984,1.29354792765
d-20w-22,0.01,0.00630957344480193,22.0050493032,0.40412874205,2.32018231021
d-10w-32,0.1,0.000630957344480193,25.523523976,0.477479609464,1.99615439396
d-20w-25,0.01,0.0031622776601683794,23.2557216903,0.429752206496,2.29967241134
d-10w-35,0.1,0.00031622776601683794,38.4873572536,0.795075708263,1.2244694488
d-20w-13,0.01,0.05011872336272722,21.2821251769,0.389524354098,2.33955277026
d-20w-14,0.01,0.03981071705534971,21.162165946,0.387114959014,2.35550491383
d-20w-15,0.01,0.03162277660168379,21.2817160916,0.389516130907,2.39880358923
d-20w-12,0.01,0.0630957344480193,21.0809910298,0.385486767114,2.47372169207
d-20w-24,0.01,0.003981071705534969,22.8464321704,0.421315212106,2.2506765418
d-10w-34,0.1,0.0003981071705534969,34.2121724215,0.679909912507,2.27588662584
d-20w-23,0.01,0.005011872336272719,22.2444079743,0.408996871367,2.34453781513
d-10w-33,0.1,0.000501187233627272,30.1312778908,0.580409296396,1.48810710725
d-10w-11,0.1,0.07943282347242814,4.95498857798,0.0866971070797,1.46147272468
d-20w-39,0.01,0.0001258925411794166,51.0478142856,1.23700646124,2.35351089588
d-10w-16,0.1,0.025118864315095794,4.71219611847,0.0824292707357,1.84289987181
d-10w-29,0.1,0.0012589254117941662,13.4575265637,0.239294870153,3.46503347102
d-10w-20,0.1,0.01,5.46477593047,0.0956686089126,1.5919384703
d-20w-30,0.01,0.001,30.3138498918,0.58467713274,1.15710012819
d-10w-27,0.1,0.001995262314968879,8.70251829423,0.153066484984,3.0128186868
d-10w-18,0.1,0.015848931924611134,5.09010842563,0.0890736093984,1.57328015952
d-20w-37,0.01,0.00019952623149688788,48.4824031139,1.12959513499,0.716279732232
d-10w-26,0.1,0.0025118864315095794,8.05368538541,0.141496454664,2.18544366899
d-10w-19,0.1,0.012589254117941668,5.22096628347,0.0913761029944,1.62170630964
d-20w-36,0.01,0.00025118864315095795,46.1674993331,1.04160698686,1.54037886341
d-10w-21,0.1,0.007943282347242814,5.39753754335,0.0944844693489,1.87195556189
d-20w-31,0.01,0.0007943282347242813,32.0366937351,0.625760197045,1.68622703319
d-20w-38,0.01,0.00015848931924611126,50.1035505429,1.19613719992,1.09898874804
d-10w-17,0.1,0.01995262314968879,5.14946849176,0.090117954708,1.40136732659
d-10w-28,0.1,0.0015848931924611126,11.1342944596,0.196813863307,2.58837772397
d-10w-10,0.1,0.1,4.82963769977,0.0844932917807,1.57598632673
d-40w-15,0.0001,0.03162277660168379,29.8247757177,0.57327978944,0.135878080046
d-40w-12,0.0001,0.0630957344480193,29.7687157278,0.571980525196,0.178179746475
d-30w-38,0.001,0.00015848931924611126,51.5506448186,1.2594557738,0.960119641077
d-30w-31,0.001,0.0007943282347242813,36.8232919507,0.748729801453,-0.938755163082
d-40w-24,0.0001,0.003981071705534969,29.8991885971,0.575006659637,0.0797607178465
d-40w-23,0.0001,0.005011872336272719,29.7687157278,0.571980525196,0.178179746475
d-30w-36,0.001,0.00025118864315095795,48.4629366044,1.128822155,-0.378008830651
d-40w-40,0.0001,0.0001,54.4783602984,1.4008288806,1.34524996439
d-30w-37,0.001,0.00019952623149688788,49.7798146395,1.18249492536,1.76584532118
d-40w-22,0.0001,0.00630957344480193,29.7726206729,0.572070980302,0.173479561316
d-40w-25,0.0001,0.0031622776601683794,29.8428576198,0.573699172202,0.122489673836
d-30w-30,0.001,0.001,34.0005987736,0.674523722131,-0.242558040165
d-40w-13,0.0001,0.05011872336272722,29.7687157278,0.571980525196,0.178179746475
d-30w-39,0.001,0.0001258925411794166,53.211862315,1.33730472692,1.13345677254
